DANH SÁCH TRẠM QUAN TRẮC THEO TỈNH THÀNH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
3.0,An Giang,-112,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tỉnh/TP,Tên Trạm,Huyện/Quận,15.5667,106.1975,266.0,Loại trạm,Nguồn dữ liệu
1.0,An Giang,Trạm Nam An Giang,Huyện B,10.3865,105.4351,262.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,An Giang,Trạm Trung tâm An Giang 5,Quận 1,10.3865,105.4351,70.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,An Giang,Trạm khí tượng Tây An Giang 7,Quận 1,10.3865,105.4351,158.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
4.0,An Giang,Trạm quan trắc Nam An Giang 3,Huyện A,10.3865,105.4351,60.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
5.0,An Giang,Trạm quan trắc Tây An Giang 6,Quận 1,10.3865,105.4351,233.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
6.0,An Giang,Trạm quan trắc Ven biển An Giang 4,Quận 3,10.3865,105.4351,237.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
7.0,An Giang,Đài Nam An Giang 2,Quận 1,10.3865,105.4351,407.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
8.0,An Giang,Đài Vùng núi An Giang 8,Huyện A,10.3865,105.4351,156.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm An Giang:,3,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
1.0,Bà Rịa - Vũng Tàu,Trạm quan trắc Nam Bà Rịa - Vũng Tàu 2,Huyện A,10.346,107.0843,442.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
2.0,Bà Rịa - Vũng Tàu,Trạm Đông Bà Rịa - Vũng Tàu 3,Quận 1,10.346,107.0843,160.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Bà Rịa - Vũng Tàu,Đài Tây Bà Rịa - Vũng Tàu,Quận 1,10.346,107.0843,155.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
3.0,Tổng số trạm Bà Rịa - Vũng Tàu:,-5,Quận 1,15.5667,106.1975,266.0,Khí tượng thủy văn,vrain.vn (tổng hợp)
