station_id,station_name,province,district,latitude,longitude,timestamp,data_source,data_quality,data_time,error_reason,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability
AG_AT,Huyện An Phú - An Giang,An Giang,An Phú,10.8333,105.0833,2026-03-11 01:22:52,statistical,medium,2026-03-11T01:22:52.926750,,26.9,35.2,24.8,29.5,70,85,65,73.8,1020,1019,1005,1012.2,1.9,6.0,1.4,3.9,229,40.2,0.0,7.3,1.8,0.8,18.5,60,76,43,58.3,12.4,15.4,9.7,13.0,5
AG_CL,Huyện Châu Phú - An Giang,An Giang,Châu Phú,10.5667,105.1667,2026-03-11 01:22:53,statistical,medium,2026-03-11T01:22:53.140412,,26.7,35.2,24.9,29.4,65,85,67,76.6,1006,1019,1005,1011.9,1.3,6.0,1.8,4.0,65,83.5,0.5,6.7,1.3,0.9,21.7,58,74,48,58.9,12.3,15.2,9.9,12.6,5
AG_CP,Huyện Châu Thành - An Giang,An Giang,Châu Thành,10.45,105.25,2026-03-11 01:22:53,statistical,medium,2026-03-11T01:22:53.396319,,29.0,35.9,26.6,31.4,66,85,65,73.0,1010,1020,1005,1012.9,4.7,5.9,1.1,3.4,297,87.4,0.0,4.5,1.2,0.5,12.9,53,74,43,60.0,12.4,16.2,10.0,13.3,5
AG_CT,Huyện Chợ Mới - An Giang,An Giang,Chợ Mới,10.5333,105.3833,2026-03-11 01:22:54,statistical,medium,2026-03-11T01:22:54.217223,,27.1,34.9,25.7,30.6,74,85,66,75.0,1015,1020,1006,1012.8,2.8,5.4,1.1,3.1,9,294.4,0.0,7.1,0.4,1.1,26.2,61,75,49,61.2,11.9,15.5,10.8,13.1,5
AG_PT,Huyện Phú Tân - An Giang,An Giang,Phú Tân,10.65,105.2833,2026-03-11 01:22:54,statistical,medium,2026-03-11T01:22:54.163428,,26.2,35.6,25.4,30.5,84,84,65,75.4,1012,1020,1005,1013.3,4.5,5.5,1.0,3.1,22,314.5,0.6,7.8,0.6,0.9,20.8,74,73,42,59.1,12.1,16.2,9.9,13.0,5
AG_TV,Huyện Thoại Sơn - An Giang,An Giang,Thoại Sơn,10.2667,105.2667,2026-03-11 01:22:53,statistical,medium,2026-03-11T01:22:53.712275,,28.4,36.7,26.0,31.6,76,85,65,75.7,1012,1020,1005,1013.0,1.0,5.8,1.1,3.9,236,186.5,0.0,4.3,1.0,0.6,14.0,70,73,48,60.3,13.7,14.9,9.5,12.3,5
AG_TX,Huyện Tri Tôn - An Giang,An Giang,Tri Tôn,10.4167,105.0,2026-03-11 01:22:54,statistical,medium,2026-03-11T01:22:54.691698,,26.8,36.1,27.0,31.0,84,85,65,76.4,1013,1020,1005,1012.5,4.8,6.0,1.0,3.7,280,105.0,0.0,5.9,1.2,0.8,18.6,69,76,49,59.5,13.2,15.5,9.7,12.2,5
AG_TN,Huyện Tịnh Biên - An Giang,An Giang,Tịnh Biên,10.55,105.0,2026-03-11 01:22:54,statistical,medium,2026-03-11T01:22:54.488940,,26.2,34.3,25.8,30.4,76,84,66,75.9,1015,1020,1006,1013.2,2.3,6.0,1.0,3.0,225,267.2,0.0,7.9,0.6,0.9,21.8,68,72,48,60.5,11.2,15.1,9.4,13.0,5
AG_CD,Thành phố Châu Đốc - An Giang,An Giang,Châu Đốc,10.7,105.1167,2026-03-11 01:22:51,statistical,medium,2026-03-11T01:22:51.911708,,27.7,37.2,27.2,32.0,66,85,67,75.6,1019,1020,1006,1013.3,1.3,5.9,1.3,3.6,121,266.6,0.0,5.0,2.8,0.5,10.8,55,72,47,59.1,13.5,15.7,10.6,12.8,5
AG_LX,Thành phố Long Xuyên - An Giang,An Giang,Long Xuyên,10.3865,105.4351,2026-03-11 01:22:52,statistical,medium,2026-03-11T01:22:52.741371,,27.7,36.6,27.8,31.8,81,85,65,73.8,1008,1020,1005,1011.0,5.2,5.9,1.5,3.9,49,120.5,0.0,6.2,0.7,0.4,10.5,66,69,43,58.0,10.5,15.2,10.2,13.1,5
AG_AP,Thị xã Tân Châu - An Giang,An Giang,Tân Châu,10.8,105.2167,2026-03-11 01:22:52,statistical,medium,2026-03-11T01:22:52.973092,,26.3,35.7,25.6,30.9,84,85,65,75.9,1018,1020,1005,1011.8,3.7,5.9,1.1,3.5,5,357.9,0.0,7.9,5.2,1.4,34.4,64,73,42,60.0,9.7,15.6,10.2,12.7,5
BR_CH,Huyện Châu Đức - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Châu Đức,10.65,107.25,2026-03-11 01:22:52,statistical,medium,2026-03-11T01:22:52.043305,,27.7,36.3,27.0,31.7,85,85,65,76.2,1016,1020,1005,1011.5,2.9,5.9,1.0,3.6,212,25.6,0.0,4.1,0.4,0.4,9.8,63,75,44,58.5,9.7,14.7,9.7,12.4,5
BR_CD,Huyện Côn Đảo - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Côn Đảo,8.6822,106.6089,2026-03-11 01:22:50,statistical,medium,2026-03-11T01:22:50.612587,,26.1,32.8,24.8,29.3,80,85,65,71.7,1020,1020,1005,1012.0,4.3,5.9,1.0,2.9,49,56.8,0.0,7.1,0.1,1.3,30.1,58,68,43,55.2,10.6,16.2,10.4,13.5,5
BR_LD,Huyện Long Điền - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Long Điền,10.4667,107.2333,2026-03-11 01:22:52,statistical,medium,2026-03-11T01:22:52.042626,,29.5,36.2,27.7,32.1,82,85,65,74.3,1012,1020,1005,1013.9,4.0,5.9,1.4,3.8,228,3.6,0.0,3.9,1.0,0.4,9.4,68,76,47,59.6,12.5,15.5,10.1,13.4,5
BR_XM,Huyện Xuyên Mộc - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Xuyên Mộc,10.6333,107.4333,2026-03-11 01:22:51,statistical,medium,2026-03-11T01:22:51.646873,,25.8,35.0,24.9,30.0,81,84,66,74.1,1009,1020,1005,1012.5,5.7,5.9,1.3,3.4,142,261.6,0.0,5.9,4.8,0.4,10.7,68,75,46,60.3,11.4,14.9,11.4,12.9,5
BR_DD,Huyện Đất Đỏ - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Đất Đỏ,10.5,107.2833,2026-03-11 01:22:51,statistical,medium,2026-03-11T01:22:51.155400,,29.1,36.8,27.3,31.3,81,84,66,76.1,1014,1019,1005,1012.8,2.1,5.8,1.2,3.4,29,151.1,0.0,7.3,1.7,1.0,24.7,60,75,49,61.5,11.1,15.2,10.3,12.5,5
BR_BR,Thành phố Bà Rịa - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Bà Rịa,10.5,107.1833,2026-03-11 01:22:50,statistical,medium,2026-03-11T01:22:50.523623,,25.8,33.6,23.3,28.1,82,85,65,76.2,1013,1017,1005,1011.1,3.5,5.9,1.0,3.7,178,320.3,2.2,7.3,1.2,1.2,29.5,75,69,47,59.3,10.5,15.8,10.1,12.6,10
BR_VT,Thành phố Vũng Tàu - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Vũng Tàu,10.346,107.0843,2026-03-11 01:22:50,statistical,medium,2026-03-11T01:22:50.672518,,25.1,33.0,24.3,28.8,82,85,65,74.8,1009,1020,1005,1013.2,2.0,5.4,1.0,3.0,325,24.2,2.7,7.5,0.9,0.4,10.3,58,77,46,60.8,10.0,15.9,10.3,12.9,10
BR_PT,Thị xã Phú Mỹ - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Phú Mỹ,10.6,107.05,2026-03-11 01:22:50,statistical,medium,2026-03-11T01:22:50.444011,,28.6,37.2,28.9,31.6,76,85,65,74.5,1009,1020,1005,1011.3,4.8,5.7,1.1,3.4,165,253.0,1.6,5.8,1.8,0.6,14.7,51,70,43,59.0,13.1,15.7,10.3,12.6,10
BR_CD2,Đảo Côn Sơn - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Côn Đảo,8.6822,106.6089,2026-03-11 01:23:46,statistical,medium,2026-03-11T01:23:46.480157,,27.8,36.9,26.7,31.7,65,85,65,75.4,1013,1020,1005,1013.4,1.9,5.8,1.2,3.9,111,18.9,0.0,6.0,0.7,1.0,22.8,53,77,45,61.4,16.1,15.0,10.1,13.1,5
BD_BA,Huyện Bàu Bàng - Bình Dương,Bình Dương,Bàu Bàng,11.25,106.8,2026-03-11 01:22:47,statistical,medium,2026-03-11T01:22:47.194616,,27.6,36.3,26.1,31.1,69,85,65,75.5,1007,1019,1005,1011.5,1.6,5.9,1.0,3.4,161,250.7,0.0,6.2,0.3,0.5,12.1,50,74,45,60.1,13.0,15.2,9.9,12.3,5
BD_BC,Huyện Bắc Tân Uyên - Bình Dương,Bình Dương,Bắc Tân Uyên,11.1667,106.8667,2026-03-11 01:22:47,statistical,medium,2026-03-11T01:22:47.664584,,29.1,36.8,26.5,31.7,66,85,65,74.1,1019,1020,1006,1012.2,5.8,5.4,1.1,3.8,109,55.3,3.4,4.0,4.0,0.2,4.0,57,72,43,61.2,13.1,15.7,10.2,12.8,10
BD_DH,Huyện Dầu Tiếng - Bình Dương,Bình Dương,Dầu Tiếng,11.2667,106.3667,2026-03-11 01:22:47,statistical,medium,2026-03-11T01:22:47.193605,,26.9,35.5,25.8,30.4,70,85,65,76.8,1016,1020,1005,1013.5,2.7,5.7,1.5,3.6,225,201.4,0.0,1.2,1.2,0.0,1.2,62,74,46,61.9,12.8,15.4,9.6,12.7,5
BD_PG,Huyện Phú Giáo - Bình Dương,Bình Dương,Phú Giáo,11.3333,106.7667,2026-03-11 01:22:47,statistical,medium,2026-03-11T01:22:47.919728,,25.6,32.5,23.9,28.3,72,85,65,75.5,1012,1019,1005,1011.0,4.0,5.8,1.1,3.4,212,31.8,2.5,6.6,2.7,0.5,12.8,55,72,42,59.7,12.3,15.2,10.2,12.9,10
BD_TDM,Thành phố Thủ Dầu Một - Bình Dương,Bình Dương,Thủ Dầu Một,10.9804,106.6519,2026-03-11 01:22:45,statistical,medium,2026-03-11T01:22:45.951985,,28.1,36.7,27.7,32.0,85,85,65,74.4,1012,1020,1006,1012.9,4.8,5.9,1.0,3.8,230,148.8,0.0,7.6,1.0,1.4,33.1,59,75,47,61.6,11.5,15.9,9.9,12.7,5
BD_BG,Thị xã Bến Cát - Bình Dương,Bình Dương,Bến Cát,11.15,106.6,2026-03-11 01:22:46,statistical,medium,2026-03-11T01:22:46.087376,,26.9,36.7,26.1,31.0,75,85,66,75.2,1007,1019,1005,1011.6,3.1,5.5,1.2,3.3,161,107.6,0.0,7.5,1.2,1.1,26.9,66,75,46,60.5,14.7,15.0,9.9,12.5,5
