station_id,station_name,province,district,latitude,longitude,timestamp,data_source,data_quality,data_time,error_reason,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability
AG_AT,Huyện An Phú - An Giang,An Giang,An Phú,10.8333,105.0833,2026-03-11 09:01:09,openmeteo,high,2026-03-11T16:00,,33.0,34.7,22.5,27.8,42,94,39,69.3,1008.7,1015.5,1007.8,1011.5,12.0,13.4,0.0,6.7,44,77.3,0.0,0.0,0.0,0.0,0.0,54,100,0,46.6,24.1,24.1,2.6,23.5,10
AG_CL,Huyện Châu Phú - An Giang,An Giang,Châu Phú,10.5667,105.1667,2026-03-11 09:01:10,openmeteo,high,2026-03-11T16:00,,33.0,34.6,22.8,27.8,42,96,39,69.0,1008.7,1015.5,1007.7,1011.5,12.4,14.2,0.0,6.9,36,96.4,0.0,0.0,0.0,0.0,0.0,48,84,0,51.6,24.1,24.1,8.4,24.0,10
AG_CP,Huyện Châu Thành - An Giang,An Giang,Châu Thành,10.45,105.25,2026-03-11 09:01:10,openmeteo,high,2026-03-11T16:00,,32.6,34.4,22.5,27.3,45,95,39,72.1,1008.6,1015.4,1007.7,1011.5,10.8,15.9,0.4,7.3,37,96.4,0.0,0.0,0.0,0.0,0.0,59,85,5,57.0,24.1,24.1,8.4,24.0,10
AG_CT,Huyện Chợ Mới - An Giang,An Giang,Chợ Mới,10.5333,105.3833,2026-03-11 09:01:10,openmeteo,high,2026-03-11T16:00,,32.8,34.4,22.9,27.5,45,95,39,71.2,1008.6,1015.4,1007.6,1011.4,10.1,15.6,0.4,7.2,35,99.4,0.0,0.0,0.0,0.0,0.0,66,85,0,54.1,24.1,24.1,12.2,23.9,10
AG_PT,Huyện Phú Tân - An Giang,An Giang,Phú Tân,10.65,105.2833,2026-03-11 09:01:10,openmeteo,high,2026-03-11T16:00,,32.9,34.7,22.7,27.7,43,95,38,69.9,1008.6,1015.4,1007.7,1011.4,11.2,13.5,0.4,6.4,33,95.9,0.0,0.0,0.0,0.0,0.0,42,91,0,50.7,24.1,24.1,3.6,23.7,10
AG_TV,Huyện Thoại Sơn - An Giang,An Giang,Thoại Sơn,10.2667,105.2667,2026-03-11 09:01:10,openmeteo,high,2026-03-11T16:00,,32.4,34.2,22.6,27.5,51,92,39,71.3,1008.7,1015.2,1007.7,1011.5,5.4,17.6,2.2,8.5,53,97.7,0.0,0.9,0.1,0.1,1.6,68,92,0,58.1,24.1,24.1,7.3,23.7,10
AG_TX,Huyện Tri Tôn - An Giang,An Giang,Tri Tôn,10.4167,105.0,2026-03-11 09:01:11,openmeteo,high,2026-03-11T16:00,,33.0,34.3,23.2,27.8,44,93,40,70.3,1008.7,1015.4,1007.7,1011.5,12.3,15.7,0.4,7.3,40,97.0,0.0,0.0,0.0,0.0,0.0,62,82,5,57.8,24.1,24.1,5.3,23.8,10
AG_TN,Huyện Tịnh Biên - An Giang,An Giang,Tịnh Biên,10.55,105.0,2026-03-11 09:01:11,openmeteo,high,2026-03-11T16:00,,33.3,34.9,23.1,28.1,42,95,38,68.3,1008.7,1015.5,1007.8,1011.6,12.8,15.5,0.8,7.6,38,93.0,0.0,0.0,0.0,0.0,0.0,55,85,21,58.2,24.1,24.1,5.3,23.8,10
AG_CD,Thành phố Châu Đốc - An Giang,An Giang,Châu Đốc,10.7,105.1167,2026-03-11 09:01:09,openmeteo,high,2026-03-11T16:00,,33.0,34.5,22.7,27.8,41,94,40,69.1,1008.7,1015.5,1007.7,1011.5,13.5,13.8,0.4,6.9,42,85.1,0.0,0.0,0.0,0.0,0.0,46,100,0,50.8,24.1,24.1,2.6,23.5,10
AG_LX,Thành phố Long Xuyên - An Giang,An Giang,Long Xuyên,10.3865,105.4351,2026-03-11 09:01:09,openmeteo,high,2026-03-11T16:00,,32.8,34.3,22.8,27.5,46,94,39,70.5,1008.6,1015.3,1007.6,1011.5,8.2,18.3,0.5,7.9,29,96.4,0.0,0.1,0.1,0.0,0.3,70,85,0,57.3,24.1,24.1,12.2,23.9,10
AG_AP,Thị xã Tân Châu - An Giang,An Giang,Tân Châu,10.8,105.2167,2026-03-11 09:01:09,openmeteo,high,2026-03-11T16:00,,33.2,34.7,22.2,27.7,41,97,39,69.4,1008.6,1015.4,1007.7,1011.4,11.4,13.8,0.5,6.6,35,88.0,0.0,0.0,0.0,0.0,0.0,41,97,0,49.6,24.1,24.1,3.6,23.7,10
BR_CH,Huyện Châu Đức - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Châu Đức,10.65,107.25,2026-03-11 09:01:08,openmeteo,high,2026-03-11T16:00,,29.8,34.2,21.7,27.0,59,93,37,67.7,1009.4,1015.4,1008.4,1011.6,13.2,25.2,1.0,12.2,137,96.9,0.0,0.2,0.1,0.0,0.9,66,100,0,50.7,22.7,24.1,9.5,23.8,5
BR_CD,Huyện Côn Đảo - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Côn Đảo,8.6822,106.6089,2026-03-11 09:01:08,openmeteo,high,2026-03-11T16:00,,26.1,26.7,25.5,26.1,77,84,73,79.4,1010.0,1015.0,1009.0,1011.7,28.6,34.5,23.2,28.8,69,72.4,0.0,0.0,0.0,0.0,0.0,31,100,6,47.2,24.1,24.1,24.1,24.1,5
BR_LD,Huyện Long Điền - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Long Điền,10.4667,107.2333,2026-03-11 09:01:08,openmeteo,high,2026-03-11T16:00,,30.1,33.5,23.3,27.5,59,86,44,67.8,1009.6,1015.3,1008.7,1011.7,15.7,28.4,1.8,15.4,122,94.2,0.0,0.3,0.1,0.0,0.7,47,100,0,49.8,24.1,24.1,20.6,24.1,10
BR_XM,Huyện Xuyên Mộc - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Xuyên Mộc,10.6333,107.4333,2026-03-11 09:01:08,openmeteo,high,2026-03-11T16:00,,29.6,34.2,21.9,26.6,61,90,38,69.6,1009.6,1015.5,1008.5,1011.8,11.3,23.6,0.7,10.6,143,91.1,0.0,0.3,0.2,0.0,0.5,88,100,0,52.1,24.1,24.1,16.7,24.0,5
BR_DD,Huyện Đất Đỏ - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Đất Đỏ,10.5,107.2833,2026-03-11 09:01:07,openmeteo,high,2026-03-11T16:00,,30.0,33.4,23.3,27.5,59,86,44,67.8,1009.6,1015.3,1008.7,1011.7,15.7,28.4,1.8,15.4,122,94.2,0.0,0.3,0.1,0.0,0.7,47,100,0,49.8,24.1,24.1,20.6,24.1,5
BR_BR,Thành phố Bà Rịa - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Bà Rịa,10.5,107.1833,2026-03-11 09:01:07,openmeteo,high,2026-03-11T16:00,,29.6,32.8,24.6,27.7,61,82,47,68.5,1009.4,1015.2,1008.7,1011.6,13.5,19.9,0.8,10.6,132,100.8,0.0,0.1,0.1,0.0,0.2,56,100,0,50.3,24.1,24.1,20.6,24.1,5
BR_VT,Thành phố Vũng Tàu - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Vũng Tàu,10.346,107.0843,2026-03-11 09:01:06,openmeteo,high,2026-03-11T16:00,,29.6,32.8,24.6,27.7,61,82,47,68.5,1009.4,1015.2,1008.7,1011.6,13.5,19.9,0.8,10.6,132,100.8,0.0,0.1,0.1,0.0,0.2,56,100,0,50.3,24.1,24.1,20.6,24.1,5
BR_PT,Thị xã Phú Mỹ - Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Phú Mỹ,10.6,107.05,2026-03-11 09:01:07,openmeteo,high,2026-03-11T16:00,,30.8,35.0,24.0,27.8,60,93,37,68.0,1009.0,1015.4,1008.2,1011.5,15.5,20.8,0.0,8.7,149,106.1,0.0,0.5,0.1,0.0,1.1,54,100,0,49.5,24.1,24.1,10.5,23.9,10
