station_id,station_name,province,district,rain_total,status,timestamp,data_time
Bãi Thơm,Bãi Thơm,An Giang,đặc khu Phú Quốc,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
An Thới,An Thới,An Giang,đặc khu Phú Quốc,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Cửa Cạn,Cửa Cạn,An Giang,đặc khu Phú Quốc,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Lại Sơn,Lại Sơn,An Giang,đặc khu Kiên Hải,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Thuận Hòa,Thuận Hòa,An Giang,xã Tân Thạnh,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
An Ninh KV3,An Ninh KV3,An Giang,xã An Minh,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Vĩnh Thuận,Vĩnh Thuận,An Giang,xã Vĩnh Phong,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Gò Quao,Gò Quao,An Giang,xã Gò Quao,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Vĩnh Xương,Vĩnh Xương,An Giang,xã Vĩnh Xương,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Vĩnh Hoà Hưng,Vĩnh Hoà Hưng,An Giang,xã Vĩnh Hòa Hưng,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Tà Lọt,Tà Lọt,An Giang,xã Núi Cấm,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Hồ Soài Check,Hồ Soài Check,An Giang,xã Tri Tôn,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Nhơn Hội,Nhơn Hội,An Giang,xã Nhơn Hội,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Châu Phong,Châu Phong,An Giang,xã Châu Phong,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Giồng Riềng,Giồng Riềng,An Giang,xã Thạnh Hưng,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
An Nông,An Nông,An Giang,phường Tịnh Biên,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
Núi Sập,Núi Sập,An Giang,xã Thoại Sơn,0.0,Không mưa,20/03/2026 19:00,20/03/2026 00:20:25
